kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
SMMT;GOLDEN EAGLE ENERGY Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;57750932681.0;774215004587.0;831965937268.0;175830166003.0;166600804322.0;342430970325.0;393750000000.0;None;17761620443.0;524725088642.0;489534966943.0;831965937268.0;39969369666.0;84584567691.0;85267717248.0;77237790341.0;76611000497.0;7973567194.0
TMAS;Pelayaran Tempuran Emas Tbk;7. Infrastructure, Utilities And Transportation;74. Transportation;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;411249064950.0;2426177079652.0;2837426144602.0;956341007520.0;811670907569.0;1768011915089.0;142628750000.0;None;145891503083.0;1067983703180.0;1069414229513.0;2837426144602.0;228206501340.0;34818481453.0;46469909197.0;46124961279.0;34481691037.0;336790416.0
SKLT;Sekar Laut Tbk;5. Consumer Goods Industry;51. Food And Beverages;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;356735670030.0;390558055405.0;747293725435.0;291349105535.0;116708612900.0;408057718435.0;69074050000.0;None;21578739873.0;339768893705.0;339236007000.0;747293725435.0;267314915155.0;31954131252.0;36017897922.0;36173390566.0;32109766373.0;-155635121.0
BJTM;Bank Pembangunan Daerah Jawa Timur Tbk;8. Finance;81. Bank;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;62689118.0;None;None;52680252.0;3744534.0;None;520603.0;8471936.0;8471936.0;None;None;1260308.0;1260308.0;1260308.0;1260308.0;None
PIGN;PT Pelabuhan Indonesia I (Persero);7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14500.0;Satuan Penuh / Full Amount;2622949895614.0;11397902962497.0;14020852858111.0;2677740915445.0;4863534553282.0;7541275468727.0;511960000000.0;None;1188040000000.0;5449056723761.0;6479577389384.0;14020852858111.0;1628594242416.0;904870576473.0;873930810004.0;880874640133.0;911814406602.0;-6943830129.0
META;Nusantara Infrastructure Tbk;7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;1056763550217.0;3248927566880.0;4305691117097.0;396158968085.0;930275843835.0;1326434811920.0;1239749573545.0;None;469155766335.0;2452148371086.0;2979256305177.0;4305691117097.0;451106051975.0;217085701116.0;215702333044.0;178042404125.0;179651455872.0;37434245244.0
RALS;Ramayana Lestari Sentosa Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;3557488.0;1685559.0;5243047.0;1093095.0;322487.0;1415582.0;354800.0;None;132494.0;3827465.0;3827465.0;5243047.0;2506605.0;587105.0;602033.0;602033.0;587105.0;00.00
SMMA;Sinar Mas Multiartha Tbk;8. Finance;89. Others - Finance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14481.0;Jutaan / In Million;None;None;100663451.0;None;None;75550211.0;1334891.0;None;1647520.0;19437115.0;25113240.0;100663451.0;1788.00.00;1537695.0;2150833.0;2257748.0;1323454.0;214241.0
HERO;Hero Supermarket Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Joint Venture - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;2962414.0;3309444.0;6271858.0;2167159.0;163211.0;2330370.0;209182.0;None;2988060.0;3941488.0;3941488.0;6271858.0;3694499.0;-1250189.0;-1257255.0;-1257255.0;-1250189.0;None
AHAP;Asuransi Harta Aman Pratama Tbk;8. Finance;84. Insurance;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14481.0;Satuan Penuh / Full Amount;None;None;628464862379.0;None;None;364592692596.0;147000000000.0;None;79565500000.0;263872169783.0;263872169783.0;None;None;-26725997916.0;-24686105695.0;-24686105695.0;-26725997916.0;None
BKSW;PT Bank QNB Indonesia Tbk;8. Finance;81. Bank;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;20486926.0;None;None;15814866.0;5109171.0;None;-30150.0;4672060.0;4672060.0;None;None;14568.0;28253.0;28253.0;14568.0;None
MIDI;Midi Utama Indonesia Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;2174526.0;2785619.0;4960145.0;2959873.0;919451.0;3879324.0;288235.0;None;73881.0;1080318.0;1080821.0;4960145.0;2679094.0;159154.0;188292.0;188289.0;159151.0;03.00
DNET;PT Indoritel Makmur Internasional Tbk.;9. Trade, Services & Investment;97. Computer And Services;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14481.0;Satuan Penuh / Full Amount;4672723093101.0;9855260631187.0;14527983724288.0;299071982140.0;5190077001804.0;5489148983944.0;3546000000000.0;None;3481850378386.0;8913506587314.0;9038834740344.0;14527983724288.0;129788816784.0;282868126051.0;448000696715.0;454553802897.0;289411094974.0;-6542968923.0
ADMF;Adira Dinamika Multi Finance Tbk;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;31496441.0;None;None;24468242.0;100000.0;None;6750.00.00;7028199.0;7028199.0;31496441.0;None;1815263.0;1987284.0;1987284.0;1815263.0;None
MCOR;PT Bank China Construction Bank Indonesia Tbk;8. Finance;81. Bank;Foreign Corporation;Foreign Company;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;15992475.0;None;None;13476317.0;1663146.0;None;238348.0;2516158.0;2516158.0;None;None;89860.0;72363.0;72363.0;89860.0;None
